,name,epochs,n,optimizer,hid_layer,train_accuracy,test_accuracy
82,10_lay_my_model_50,5,50,RMSProp,10,0.8753,0.8576
83,10_lay_my_model_50,15,50,RMSProp,10,0.8858,0.8605
84,10_lay_my_model_50,5,50,adam,10,0.8871,0.8555
85,10_lay_my_model_50,15,50,adam,10,0.8932,0.8640000000000001
86,10_lay_my_model_50,5,50,NAdam,10,0.8999,0.8634
87,10_lay_my_model_50,15,50,NAdam,10,0.9049,0.8721
88,10_lay_my_model_100,5,100,SGD,10,0.8057,0.7928
89,10_lay_my_model_100,15,100,SGD,10,0.8808,0.8585
90,10_lay_my_model_100,5,100,RMSProp,10,0.86,0.8399
91,10_lay_my_model_100,15,100,RMSProp,10,0.8845,0.8601
92,10_lay_my_model_100,5,100,adam,10,0.8851,0.8593
93,10_lay_my_model_100,15,100,adam,10,0.877,0.8533
94,10_lay_my_model_100,5,100,NAdam,10,0.8836,0.8599
95,10_lay_my_model_100,15,100,NAdam,10,0.8773,0.8531
